time,seconds_elapsed,z,y,x
1758301124119224000,96.48022412109376,0.7346488113332539,-9.657704470157622,-1.5360386242918669
1758301124129198000,96.49019799804688,0.870124253423512,-9.631610828480124,-1.6264517395362257
1758301124139173400,96.50017333984376,0.9474141946572809,-9.611541269397735,-1.7003151403874157
1758301124149146600,96.51014672851562,0.9138417415317147,-9.594968904781341,-1.8088231536403296
1758301124159120600,96.52012060546875,0.7880123719260096,-9.579332359710335,-1.9457194953791797
1758301124169094700,96.5300947265625,0.658580593914166,-9.570523030310868,-2.0351314707569776
1758301124179068700,96.54006860351562,0.6020398645900189,-9.56986778127253,-2.0556189629904926
1758301124189042700,96.55004272460937,0.6527406357143074,-9.566928805211186,-2.0538237501367926
1758301124199016400,96.56001635742187,0.7881402360893786,-9.559565582966805,-2.0405676704615354
1758301124208990500,96.56999047851562,0.9395967258393764,-9.552906125077605,-2.007370480389148
1758301124218965500,96.57996557617187,1.0004337641179561,-9.556624853339791,-1.95971075746119
1758301124228939500,96.589939453125,0.934547406560555,-9.57550081872344,-1.8991645188227295
1758301124238913500,96.59991357421875,0.7938613902151584,-9.602792730274796,-1.8238750306911766
1758301124248887600,96.60988745117187,0.6370549908045678,-9.631596799954771,-1.7311536385044455
1758301124258861600,96.61986157226562,0.505003677944094,-9.660814711132645,-1.6074945256099105
1758301124268835600,96.62983569335937,0.42306284216456114,-9.68908102067411,-1.4536622466392815
1758301124278809600,96.6398095703125,0.3852908549899235,-9.714953713077307,-1.2812580997981131
1758301124288783600,96.64978369140626,0.3741747099528089,-9.738321729183196,-1.0933785897970199
1758301124298758400,96.65975830078125,0.3745574987253174,-9.758751938271521,-0.8926723314486443
1758301124308732400,96.669732421875,0.3838874909980222,-9.775154791539906,-0.6851192028801888
1758301124318706400,96.67970654296874,0.41633981751985844,-9.786073660439252,-0.47937681352812794
1758301124328680400,96.68968041992187,0.48339843372702596,-9.790698982152342,-0.2809878374124877
1758301124338654500,96.69965454101562,0.5882288909783586,-9.788452080008387,-0.10283342908206396
1758301124348628500,96.70962841796874,0.7327180624663829,-9.77919559136331,0.029064933122845832
1758301124358602500,96.7196025390625,0.9021056379653513,-9.764671975970268,0.08810798924029804
1758301124368576500,96.72957641601562,1.0572701884530484,-9.749304310968517,0.060397834010561924
1758301124378550500,96.73955053710938,1.1566981656063346,-9.738044081285596,-0.05417076705610379
1758301124388525600,96.74952563476562,1.1875934354119002,-9.731727153223753,-0.23127943832641465
1758301124398499600,96.75949951171874,1.1555910811472683,-9.728039989143609,-0.44748022119291125
1758301124408473600,96.7694736328125,1.0672399399340151,-9.725189860409497,-0.6723548522446304
1758301124418447600,96.77944750976563,0.9312106633532792,-9.722213474947214,-0.8841833200447261
1758301124428421400,96.78942138671874,0.769239793851599,-9.716861008003354,-1.0776101619746536
1758301124438395400,96.7993955078125,0.6096927904959768,-9.707624977624416,-1.2492569876424968
1758301124448369400,96.80936938476563,0.4793643193727359,-9.696252519738673,-1.386826844728738
1758301124458343400,96.81934350585938,0.3925521146971732,-9.688265612637997,-1.4675794205717743
1758301124468318500,96.829318359375,0.3509691909322515,-9.691051443964243,-1.4597089794576168
1758301124478292500,96.83929248046876,0.2677745191667229,-9.70970646007359,-1.349184657946229
1758301124488266500,96.8492666015625,0.0033634322826794232,-9.735637604665756,-1.1780359910588711
1758301124498240500,96.85924047851563,-0.34218517863713205,-9.74187971392572,-1.0719541820395737
1758301124508214500,96.86921459960938,-0.5452299994682893,-9.726334354269504,-1.127618859181553
1758301124518188500,96.8791884765625,-0.552023751261644,-9.708113053402304,-1.2720793525643646
1758301124528162600,96.88916259765625,-0.45443628740850833,-9.699549223196506,-1.3720784806691109
1758301124538136600,96.89913647460938,-0.33230138840656726,-9.702850602829455,-1.3837147040575741
1758301124548111600,96.90911157226563,-0.22486162543967364,-9.712987381440401,-1.3333088972918687
1758301124558085600,96.91908569335938,-0.14175281445984728,-9.724254040864109,-1.2606230157874523
1758301124568059600,96.9290595703125,-0.07151457270272076,-9.73509049217701,-1.1803612191360444
1758301124578033400,96.93903344726563,0.050596630329801696,-9.745425423708557,-1.0929441439025103
1758301124588007400,96.94900732421875,0.24501800428899004,-9.752499892139435,-0.9995535472173244
1758301124597981400,96.9589814453125,0.4619078288655728,-9.75207845185697,-0.9241149329386651
1758301124607955500,96.96895556640625,0.6324313495919108,-9.744159349295497,-0.906517755319178
1758301124617929500,96.97892944335938,0.7214294104065746,-9.733195472210646,-0.9564749415345489
1758301124627904800,96.98890478515625,0.755314875004068,-9.72139923595488,-1.0460825125496833
1758301124637878800,96.99887866210938,0.794605340450257,-9.706210434651375,-1.1525938720926643
1758301124647852500,97.0088525390625,0.8856727548848837,-9.685504331231117,-1.255773968321085
1758301124657826600,97.01882666015625,1.037587582861632,-9.659490769052505,-1.3371699566341937
1758301124667800600,97.02880053710938,1.2199568780738859,-9.63225087994933,-1.3790743309058249
1758301124677774600,97.03877465820312,1.3947821876473725,-9.609450434598326,-1.3723812630079686
1758301124687748600,97.04874853515625,1.5378336910150945,-9.593933716514705,-1.3273625561080873
1758301124697722600,97.05872265625,1.6381484609402714,-9.586813655376433,-1.2569272300094365
1758301124707696600,97.06869653320312,1.7023334944725035,-9.586800795894861,-1.168626211548224
1758301124717671700,97.07867163085938,1.7429016517043112,-9.591301614445447,-1.067535488814488
1758301124727645700,97.08864575195312,1.7492210639841854,-9.601705519559978,-0.9580584843989461
1758301124737619700,97.09861962890625,1.7112746335580944,-9.618647302010654,-0.8506299369458109
1758301124747593700,97.10859375,1.6303946319431066,-9.639260466450452,-0.7725503797043114
1758301124757567700,97.11856762695312,1.518393954268843,-9.65961176508367,-0.7461742678236216
1758301124767541800,97.12854174804687,1.3874762485481797,-9.677194183525442,-0.772795586637035
1758301124777515800,97.13851586914062,1.245890141557902,-9.690668582126497,-0.8420774318516254
1758301124787489500,97.14848950195312,1.1030961931478231,-9.698792851871252,-0.9418057071257382
1758301124797464600,97.15846459960937,0.9692387807134538,-9.701077163416146,-1.0583335068356245
1758301124807438600,97.1684384765625,0.8547107034534216,-9.698397715073824,-1.1751287253100424
1758301124817412600,97.17841259765625,0.7710152060262858,-9.69114847459793,-1.287470690702647
1758301124827386600,97.18838671875,0.7349754860043525,-9.677605686935783,-1.4050519449882208
1758301124837360600,97.19836059570312,0.7738652616951615,-9.656330843716859,-1.5253865896351635
1758301124847334700,97.20833471679687,0.8807454545505344,-9.631267714130878,-1.622752885018289
1758301124857308700,97.21830859375,0.9939697557356209,-9.609616438814998,-1.684545908847451
1758301124867282700,97.22828271484374,1.0500623029008507,-9.5929195710361,-1.7446002723157406
1758301124877257500,97.23825756835937,1.0128238015484063,-9.580093991732596,-1.8347654041483996
1758301124887231500,97.2482314453125,0.9183774852652102,-9.572544307005405,-1.9218157649613916
1758301124897205500,97.25820556640625,0.840188476299867,-9.574896423089504,-1.9457212489448488
1758301124907179500,97.26817944335937,0.8346389524139464,-9.57684521906972,-1.9385059107385574
1758301124917153500,97.27815356445312,0.9107185680098832,-9.572768178889154,-1.9243438221342861
1758301124927127600,97.28812744140625,1.024771355908364,-9.56722106615603,-1.8943354912310837
1758301124937101600,97.2981015625,1.0832492638401687,-9.570516016048192,-1.8444956477850674
1758301124947075600,97.30807568359376,1.0366351044423878,-9.59043944465816,-1.766133620340377
1758301124957050600,97.31805053710937,0.9241796687379479,-9.620879591107368,-1.6598073350407183
1758301124967024600,97.32802465820312,0.798353148676455,-9.652382982873917,-1.5377064113736152
1758301124976998700,97.33799853515625,0.6871669291902333,-9.681986093977093,-1.3990394067004321
1758301124986972700,97.34797265625,0.6037194151747971,-9.70948083462417,-1.2376945601426064
1758301124996946700,97.35794677734376,0.5571224626401439,-9.733173260378837,-1.0608180901929736
1758301125006920700,97.36792065429688,0.5503581926696002,-9.751939335647224,-0.8758942151270807
1758301125016894500,97.37789453125,0.5763509312558919,-9.765939803948998,-0.6816336257867515
1758301125026868500,97.38786840820312,0.6282111746136099,-9.77482921284735,-0.47798956042081114
1758301125036843500,97.39784350585937,0.7041312157336622,-9.777558930072187,-0.27187247427115213
1758301125046817500,97.40781762695312,0.8033568752478808,-9.773425191268323,-0.07172119205757044
1758301125056791600,97.41779150390624,0.9279245543546975,-9.7620574095577,0.10751620747027918
1758301125066765600,97.427765625,1.080217933320254,-9.74393021671474,0.24362525302264837
1758301125076739600,97.43773950195313,1.248671004448086,-9.72173416699767,0.31477278251126406
1758301125086713600,97.44771362304688,1.400920836532861,-9.70131447930336,0.30378168862592425
